Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
690,23.00,3,18.00,3.73,32.54,0.6100,alto,No
692,23.06,2,18.00,4.17,32.49,0.6080,alto,No
694,23.13,3,18.00,4.65,32.58,0.6070,alto,No
696,23.19,3,18.00,4.33,32.35,0.6070,alto,No
698,23.26,3,18.00,4.72,32.57,0.6060,alto,No
700,23.33,2,18.00,4.75,32.18,0.6050,alto,No
702,23.39,1,18.00,4.59,0.00,0.5310,medio,No
704,23.46,3,18.00,3.54,32.39,0.6110,alto,No
706,23.53,3,18.00,2.57,32.29,0.6150,alto,No
708,23.59,2,18.00,2.50,32.06,0.6140,alto,No
710,23.66,2,6.00,1.76,32.70,0.5190,medio,No
712,23.73,2,0.00,1.40,32.50,0.3200,medio,No
714,23.79,2,6.00,2.23,33.12,0.4890,medio,No
716,23.86,2,6.00,1.94,32.65,0.5070,medio,No
718,23.93,3,18.00,3.52,32.75,0.6120,alto,No
720,23.99,3,12.00,2.12,32.36,0.5670,medio,No
722,24.06,2,12.00,1.93,32.73,0.5680,medio,No
724,24.13,2,6.00,2.16,32.81,0.4930,medio,No
726,24.19,2,6.00,1.71,32.15,0.5180,medio,No
728,24.26,2,0.00,1.01,32.54,0.3220,medio,No
730,24.33,2,0.00,0.96,32.18,0.3210,medio,No
732,24.39,2,6.00,1.49,32.15,0.5190,medio,No
734,24.46,3,6.00,1.59,32.39,0.5190,medio,No
736,24.53,3,18.00,3.13,32.29,0.6120,alto,No
738,24.59,2,0.00,1.46,32.67,0.3200,medio,No
740,24.66,3,12.00,2.23,32.82,0.5670,medio,No
742,24.73,2,12.00,2.14,32.68,0.5670,medio,No
744,24.79,2,18.00,3.19,32.69,0.6130,alto,No
746,24.86,3,18.00,3.38,32.87,0.6130,alto,No
748,24.93,2,18.00,3.87,32.80,0.6100,alto,No
750,24.99,2,12.00,4.17,33.07,0.5390,medio,No
752,25.06,4,12.00,3.09,32.71,0.5630,medio,No
754,25.13,3,12.00,2.93,32.90,0.5650,medio,No
756,25.19,3,12.00,2.47,32.85,0.5660,medio,No
758,25.26,2,0.00,1.08,32.88,0.3220,medio,No
760,25.33,2,0.00,1.23,32.58,0.3210,medio,No
762,25.39,2,6.00,1.67,32.68,0.5190,medio,No
764,25.46,2,6.00,1.62,32.76,0.5200,medio,No
766,25.53,2,12.00,2.51,32.31,0.5650,medio,No
768,25.59,2,12.00,3.16,32.44,0.5630,medio,No
770,25.66,1,18.00,3.57,0.00,0.5350,medio,No
772,25.73,2,12.00,3.36,32.12,0.5610,medio,No
774,25.79,2,6.00,2.14,32.82,0.4940,medio,No
776,25.86,2,6.00,1.97,32.51,0.5040,medio,No
778,25.93,2,0.00,1.17,32.72,0.3210,medio,No
780,25.99,2,0.00,1.50,32.52,0.3200,medio,No
782,26.06,2,12.00,2.53,32.48,0.5650,medio,No
784,26.13,2,12.00,2.77,32.61,0.5650,medio,No
786,26.19,3,18.00,5.00,32.51,0.6050,alto,No
788,26.26,2,18.00,5.95,32.24,0.5870,medio,No
790,26.33,2,18.00,6.33,32.28,0.5770,medio,No
792,26.39,1,18.00,6.51,0.00,0.4970,medio,No
794,26.46,2,18.00,4.81,32.45,0.6060,alto,No
796,26.53,2,18.00,5.10,32.58,0.6050,alto,No
798,26.59,2,18.00,4.17,32.98,0.6100,alto,No
800,26.66,2,6.00,3.22,32.96,0.4470,medio,No
802,26.73,2,18.00,3.77,32.84,0.6110,alto,No
804,26.79,2,18.00,4.12,32.60,0.6090,alto,No
806,26.86,3,18.00,5.67,32.94,0.5960,medio,No
808,26.93,3,18.00,4.99,32.91,0.6060,alto,No
810,26.99,3,18.00,5.26,32.94,0.6050,alto,No
812,27.06,3,12.00,4.23,32.93,0.5370,medio,No
814,27.13,3,12.00,3.99,32.82,0.5450,medio,No
816,27.19,3,12.00,4.37,33.11,0.5330,medio,No
818,27.26,2,12.00,2.82,32.38,0.5640,medio,No
820,27.33,2,12.00,2.67,32.59,0.5650,medio,No
822,27.39,2,18.00,3.25,32.71,0.6130,alto,No
824,27.46,2,18.00,4.02,32.75,0.6100,alto,No
826,27.53,2,12.00,3.41,32.66,0.5620,medio,No
828,27.59,2,18.00,4.07,32.38,0.6090,alto,No
830,27.66,2,18.00,6.96,0.04,0.4880,medio,No
832,27.73,3,18.00,7.75,32.35,0.5480,medio,No
834,27.79,2,18.00,8.96,32.07,0.5280,medio,No
836,27.86,2,18.00,7.69,32.08,0.5480,medio,No
838,27.93,2,18.00,6.65,32.41,0.5700,medio,No
840,27.99,3,12.00,5.08,32.30,0.5110,medio,No
842,28.06,2,12.00,5.85,32.06,0.4930,medio,No
844,28.13,1,18.00,6.36,0.00,0.5010,medio,No
846,28.19,2,12.00,5.83,31.82,0.4930,medio,No
848,28.26,2,18.00,3.04,32.00,0.6120,alto,No
850,28.33,1,18.00,3.17,0.00,0.5370,medio,No
852,28.39,1,12.00,3.21,0.00,0.4870,medio,No
854,28.46,3,12.00,3.15,32.55,0.5630,medio,No
856,28.53,3,18.00,4.33,32.89,0.6090,alto,No
858,28.59,2,12.00,3.28,32.33,0.5620,medio,No
860,28.66,3,12.00,4.66,32.93,0.5230,medio,No
862,28.73,2,18.00,5.88,32.93,0.5900,medio,No
864,28.79,3,12.00,6.29,32.74,0.4860,medio,No
866,28.86,3,12.00,5.47,32.82,0.5020,medio,No
868,28.93,2,12.00,5.89,32.64,0.4930,medio,No
870,28.99,3,12.00,6.66,32.72,0.4800,medio,No
872,29.06,2,18.00,5.49,32.53,0.6010,alto,No
874,29.13,4,18.00,3.47,32.70,0.6120,alto,No
876,29.19,4,18.00,2.30,32.57,0.6160,alto,No
878,29.26,2,0.00,1.07,32.62,0.3220,medio,No
880,29.33,2,12.00,2.00,32.94,0.5690,medio,No
882,29.39,3,18.00,3.55,32.39,0.6110,alto,No
884,29.46,2,6.00,2.11,32.77,0.4960,medio,No
886,29.53,2,12.00,2.95,32.45,0.5630,medio,No
888,29.59,2,12.00,3.06,32.71,0.5640,medio,No
890,29.66,2,12.00,3.16,32.43,0.5630,medio,No
892,29.73,2,6.00,2.02,32.90,0.5020,medio,No
894,29.79,4,0.00,0.96,32.78,0.3220,medio,No
896,29.86,3,6.00,1.40,32.76,0.5210,medio,No
